city,city_ascii,lat,lng,country,iso3,population
Jacmel,Jacmel,18.2350,-72.5370,Haiti,HTI,33563
Port Moody,Port Moody,49.2831,-122.8317,Canada,CAN,33551
Riverhead,Riverhead,40.9409,-72.7095,United States,USA,33549
Caçapava do Sul,Cacapava do Sul,-30.5119,-53.4908,Brazil,BRA,33548
Wedel,Wedel,53.5833,9.7000,Germany,DEU,33547
Nowy Targ,Nowy Targ,49.4833,20.0333,Poland,POL,33545
Falls,Falls,40.1686,-74.7915,United States,USA,33542
Ibaté,Ibate,-21.9550,-47.9969,Brazil,BRA,33535
Cabarroguis,Cabarroguis,16.5833,121.5000,Philippines,PHL,33533
Midlothian,Midlothian,32.4668,-96.9892,United States,USA,33532
Columbio,Columbio,6.7000,124.9333,Philippines,PHL,33527
Saint Helier,Saint Helier,49.1858,-2.1100,Jersey,JEY,33522
Chumphon,Chumphon,10.4939,99.1800,Thailand,THA,33516
Newark,Newark,39.6776,-75.7573,United States,USA,33515
Alamogordo,Alamogordo,32.8837,-105.9624,United States,USA,33513
Biberach,Biberach,48.0981,9.7886,Germany,DEU,33510
San Vicente,San Vicente,10.5333,119.2833,Philippines,PHL,33507
Niangoloko,Niangoloko,10.2833,-4.9167,Burkina Faso,BFA,33500
Bôca do Acre,Boca do Acre,-8.7519,-67.3978,Brazil,BRA,33498
Dej,Dej,47.0872,23.8053,Romania,ROU,33497
Bacarra,Bacarra,18.2519,120.6107,Philippines,PHL,33496
Pôrto União,Porto Uniao,-26.2378,-51.0778,Brazil,BRA,33493
Corinto,Corinto,3.1739,-76.2594,Colombia,COL,33489
Alabaster,Alabaster,33.2198,-86.8225,United States,USA,33487
Pikesville,Pikesville,39.3893,-76.7020,United States,USA,33486
Batan,Batan,11.5833,122.5000,Philippines,PHL,33484
Fair Oaks,Fair Oaks,38.8653,-77.3586,United States,USA,33481
Hlukhiv,Hlukhiv,51.6765,33.9078,Ukraine,UKR,33478
Neuchâtel,Neuchatel,46.9903,6.9306,Switzerland,CHE,33475
Cishan,Cishan,36.5780,114.1020,China,CHN,33474
Deer Park,Deer Park,29.6898,-95.1151,United States,USA,33474
Ahrensburg,Ahrensburg,53.6747,10.2411,Germany,DEU,33472
São Bento,Sao Bento,-6.4858,-37.4508,Brazil,BRA,33464
Long Beach,Long Beach,40.5887,-73.6660,United States,USA,33454
Kasulu,Kasulu,-4.5767,30.1025,Tanzania,TZA,33452
Derry,Derry,42.8888,-71.2804,United States,USA,33448
Humenné,Humenne,48.9306,21.9122,Slovakia,SVK,33441
Castelfranco Veneto,Castelfranco Veneto,45.6667,11.9333,Italy,ITA,33435
Woodridge,Woodridge,41.7368,-88.0408,United States,USA,33432
Ciudad Tecún Umán,Ciudad Tecun Uman,14.6833,-92.1333,Guatemala,GTM,33426
Angamāli,Angamali,10.1960,76.3860,India,IND,33424
Getafe,Getafe,10.1500,124.1500,Philippines,PHL,33422
Gladstone,Gladstone,-23.8427,151.2555,Australia,AUS,33418
Darsi,Darsi,15.7667,79.6833,India,IND,33418
Castro,Castro,-42.4824,-73.7643,Chile,CHL,33417
Shōbara,Shobara,34.8578,133.0167,Japan,JPN,33409
Ban Pak Phun,Ban Pak Phun,8.5391,99.9702,Thailand,THA,33407
Date,Date,42.4719,140.8647,Japan,JPN,33404
Geraardsbergen,Geraardsbergen,50.7667,3.8667,Belgium,BEL,33403
Paso de Ovejas,Paso de Ovejas,19.2850,-96.4400,Mexico,MEX,33392
Kos,Kos,36.8153,27.1103,Greece,GRC,33387
Bridgeton,Bridgeton,39.4286,-75.2281,United States,USA,33379
Banate,Banate,11.0500,122.7833,Philippines,PHL,33376
Tulum,Tulum,20.2119,-87.4658,Mexico,MEX,33374
Kondapalle,Kondapalle,16.6167,80.5333,India,IND,33373
Greer,Greer,34.9313,-82.2315,United States,USA,33373
Ventspils,Ventspils,57.3897,21.5644,Latvia,LVA,33372
Iperó,Ipero,-23.3503,-47.6886,Brazil,BRA,33367
Tayshet,Tayshet,55.9333,98.0167,Russia,RUS,33364
Brejo,Brejo,-3.6839,-42.7500,Brazil,BRA,33359
Tavda,Tavda,58.0500,65.2667,Russia,RUS,33356
Conceição de Jacuípe,Conceicao de Jacuipe,-12.3269,-38.7650,Brazil,BRA,33354
Lexington,Lexington,42.4456,-71.2307,United States,USA,33340
Vintar,Vintar,18.2250,120.6500,Philippines,PHL,33339
Sisak,Sisak,45.4872,16.3761,Croatia,HRV,33322
Iława,Ilawa,53.5964,19.5656,Poland,POL,33322
Nokia,Nokia,61.4767,23.5053,Finland,FIN,33322
Taishi,Taishi,34.8336,134.5781,Japan,JPN,33321
Baturité,Baturite,-4.3289,-38.8850,Brazil,BRA,33321
Baltiysk,Baltiysk,54.6500,19.9167,Russia,RUS,33317
Springville,Springville,40.1638,-111.6206,United States,USA,33310
Lebowakgomo,Lebowakgomo,-24.2000,29.5000,South Africa,ZAF,33308
Dupax Del Norte,Dupax Del Norte,16.2864,121.0942,Philippines,PHL,33295
São Luís Gonzaga,Sao Luis Gonzaga,-28.4078,-54.9608,Brazil,BRA,33293
Shangcaiyuan,Shangcaiyuan,24.6817,102.6918,China,CHN,33287
Almeirim,Almeirim,-1.5228,-52.5819,Brazil,BRA,33282
Saratoga Springs,Saratoga Springs,40.3449,-111.9152,United States,USA,33282
Reghin,Reghin,46.7758,24.7083,Romania,ROU,33281
Nevers,Nevers,46.9933,3.1572,France,FRA,33279
Canavieiras,Canavieiras,-15.6750,-38.9469,Brazil,BRA,33268
Didouche Mourad,Didouche Mourad,36.4484,6.6339,Algeria,DZA,33266
Calpulalpan,Calpulalpan,19.5869,-98.5683,Mexico,MEX,33263
Juticalpa,Juticalpa,14.6664,-86.2186,Honduras,HND,33260
Xincheng,Xincheng,38.2679,114.6832,China,CHN,33248
Copperas Cove,Copperas Cove,31.1192,-97.9140,United States,USA,33235
Villafranca di Verona,Villafranca di Verona,45.3500,10.8500,Italy,ITA,33232
Kampong Speu,Kampong Speu,11.4520,104.5190,Cambodia,KHM,33231
Coxim,Coxim,-18.5069,-54.7600,Brazil,BRA,33231
Pivijay,Pivijay,10.4608,-74.6153,Colombia,COL,33225
Shatura,Shatura,55.5667,39.5333,Russia,RUS,33222
Bragado,Bragado,-35.1167,-60.5000,Argentina,ARG,33222
Kyrenia,Kyrenia,35.3403,33.3192,Cyprus,CYP,33207
Obukhiv,Obukhiv,50.1000,30.6167,Ukraine,UKR,33204
Camacan,Camacan,-15.4189,-39.4958,Brazil,BRA,33197
Lovech,Lovech,43.1348,24.7115,Bulgaria,BGR,33195
Menen,Menen,50.7956,3.1217,Belgium,BEL,33190
Khvāf,Khvaf,34.5764,60.1408,Iran,IRN,33189
Jaguarari,Jaguarari,-10.2600,-40.1958,Brazil,BRA,33186
Correntina,Correntina,-13.3428,-44.6369,Brazil,BRA,33183
Pandami,Pandami,5.5333,120.7500,Philippines,PHL,33177
American Fork,American Fork,40.3792,-111.7952,United States,USA,33161
Romans-sur-Isère,Romans-sur-Isere,45.0464,5.0517,France,FRA,33160
Franklin,Franklin,41.1101,-74.5886,United States,USA,33153
Police,Police,53.5500,14.5708,Poland,POL,33152
Epe,Epe,52.3333,5.9167,Netherlands,NLD,33145
Chuhuiv,Chuhuiv,49.8353,36.6756,Ukraine,UKR,33144
Andover,Andover,45.2571,-93.3265,United States,USA,33140
Matthews,Matthews,35.1195,-80.7101,United States,USA,33138
Dzierżoniów,Dzierzoniow,50.7281,16.6511,Poland,POL,33137
Dipaculao,Dipaculao,15.9833,121.6333,Philippines,PHL,33131
Palmeira das Missões,Palmeira das Missoes,-27.8989,-53.3139,Brazil,BRA,33131
Abingdon,Abingdon,51.6670,-1.2830,United Kingdom,GBR,33130
