iso3,city,country,population,city_ascii,lng,lat
JPN,Hiroshima,Japan,1198021,Hiroshima,132.45,34.4
NGA,Maiduguri,Nigeria,1197497,Maiduguri,13.15,11.8333
ARG,Rosario,Argentina,1193605,Rosario,-60.6394,-32.9575
IRN,Ahvāz,Iran,1184788,Ahvaz,48.6692,31.3203
SAU,Medina,Saudi Arabia,1180770,Medina,39.6,24.4667
RUS,Omsk,Russia,1178391,Omsk,73.3833,54.9667
IDN,Cilacap,Indonesia,1174964,Cilacap,109.017,-7.7167
RUS,Samara,Russia,1169719,Samara,50.1167,53.1833
IDN,Bandar Lampung,Indonesia,1166761,Bandar Lampung,105.2625,-5.4294
KOR,Ulsan,South Korea,1166033,Ulsan,129.3167,35.55
NGA,Benin City,Nigeria,1147188,Benin City,5.6145,6.3176
GBR,Birmingham,United Kingdom,1137100,Birmingham,-1.9025,52.48
MEX,Monterrey,Mexico,1135512,Monterrey,-100.3,25.6667
RUS,Rostov,Russia,1125299,Rostov,39.7167,47.2333
MAR,Fès,Morocco,1112072,Fes,-5.0033,34.0433
NGA,Ikare,Nigeria,1099931,Ikare,5.76,7.5304
GHA,Tamale,Ghana,1095808,Tamale,-0.8533,9.4075
DEU,Cologne,Germany,1083498,Cologne,6.9578,50.9422
ZAF,Vereeniging,South Africa,1074000,Vereeniging,27.9319,-26.6736
HND,San Pedro Sula,Honduras,1073824,San Pedro Sula,-88.0333,15.5
CAN,Edmonton,Canada,1062643,Edmonton,-113.4903,53.5344
VEN,Barquisimeto,Venezuela,1059092,Barquisimeto,-69.3467,10.0678
JPN,Sendai,Japan,1058070,Sendai,140.8694,38.2683
MEX,Mexicali,Mexico,1049792,Mexicali,-115.4678,32.6633
COL,Cartagena,Colombia,1036412,Cartagena,-75.5253,10.4236
NGA,Ogbomoso,Nigeria,1032000,Ogbomoso,4.25,8.1333
IDN,Bagam,Indonesia,1029808,Bagam,104.0167,1.0678
KAZ,Shymkent,Kazakhstan,1028673,Shymkent,69.6,42.3
UKR,Odesa,Ukraine,1017699,Odesa,30.7326,46.4775
MEX,Villahermosa,Mexico,1013484,Villahermosa,-92.9281,17.9892
PER,Arequipa,Peru,1008290,Arequipa,-71.5369,-16.3988
PAK,Quetta,Pakistan,1001205,Quetta,67.007,30.192
VNM,Quảng Hà,Vietnam,1000000,Quang Ha,108.25,16.06
UKR,Dnipro,Ukraine,980948,Dnipro,35.04,48.4675
PHL,Zamboanga City,Philippines,977234,Zamboanga City,122.0833,6.9167
IRQ,Kirkuk,Iraq,975000,Kirkuk,44.4,35.4667
ITA,Naples,Italy,966144,Naples,14.25,40.8333
PHL,Cebu City,Philippines,964169,Cebu City,123.902,10.293
MEX,Morelia,Mexico,962555,Morelia,-101.1894,19.7683
EGY,Al Manşūrah,Egypt,960423,Al Mansurah,31.3833,31.05
MAR,Tangier,Morocco,947952,Tangier,-5.8039,35.7767
IRN,Kermānshāh,Iran,945651,Kermanshah,47.0686,34.3167
COD,Kisangani,Congo (Kinshasa),935977,Kisangani,25.1911,0.5153
JPN,Kitakyūshū,Japan,935084,Kitakyushu,130.8833,33.8833
UKR,Donetsk,Ukraine,929063,Donetsk,37.8042,48.0089
MAR,Marrakech,Morocco,928850,Marrakech,-7.9811,31.6295
PER,Trujillo,Peru,919899,Trujillo,-79.0289,-8.1119
BFA,Bobo-Dioulasso,Burkina Faso,903887,Bobo-Dioulasso,-4.2833,11.1833
SAU,Ad Dammām,Saudi Arabia,903312,Ad Dammam,50.1,26.4333
IRQ,Ar Ramādī,Iraq,874543,Ar Ramadi,43.2992,33.4258
ITA,Turin,Italy,870952,Turin,7.7,45.0667
FRA,Marseille,France,868277,Marseille,5.37,43.2964
MYS,Ipoh,Malaysia,866772,Ipoh,101.07,4.6
DZA,Oran,Algeria,852000,Oran,-0.6331,35.6969
IRQ,Erbil,Iraq,846000,Erbil,44.0094,36.1911
COG,Pointe-Noire,Congo (Brazzaville),829134,Pointe-Noire,11.8653,-4.7889
MYS,Butterworth,Malaysia,821652,Butterworth,100.3639,5.3992
COL,Palermo,Colombia,800000,Palermo,-75.4339,2.8883
JPN,Niigata,Japan,790646,Niigata,139.0364,37.9161
GBR,Leeds,United Kingdom,789194,Leeds,-1.5492,53.7997
JPN,Hamamatsu,Japan,788211,Hamamatsu,137.7333,34.7167
AGO,Lubango,Angola,776249,Lubango,13.5,-14.9167
SYR,Homs,Syria,775404,Homs,36.7167,34.7333
PRK,Hamhŭng,North Korea,768551,Hamhung,127.5333,39.9167
ARE,Al ‘Ayn,United Arab Emirates,766936,Al `Ayn,55.7447,24.2075
POL,Kraków,Poland,766739,Krakow,19.9372,50.0614
DEU,Frankfurt,Germany,764104,Frankfurt,8.6797,50.1136
VEN,Ciudad Guayana,Venezuela,751331,Ciudad Guayana,-62.6517,8.3596
ZAF,Pietermaritzburg,South Africa,750845,Pietermaritzburg,30.3796,-29.6009
COL,Cúcuta,Colombia,750000,Cucuta,-72.5047,7.9075
MOZ,Nampula,Mozambique,743000,Nampula,39.2667,-15.1167
UKR,Zaporizhzhia,Ukraine,741717,Zaporizhzhia,35.1383,47.8378
IRN,Orūmīyeh,Iran,736224,Orumiyeh,45.0675,37.5486
ARG,Comodoro Rivadavia,Argentina,730266,Comodoro Rivadavia,-67.5,-45.8667
PHL,Cagayan de Oro,Philippines,728402,Cagayan de Oro,124.65,8.4833
IRQ,An Najaf,Iraq,724700,An Najaf,44.3396,32.029
UKR,Lviv,Ukraine,724314,Lviv,24.0315,49.8419
CAN,Winnipeg,Canada,705244,Winnipeg,-97.1464,49.8844
CAN,Quebec City,Canada,705103,Quebec City,-71.2081,46.8139
SYR,Latakia,Syria,700000,Latakia,35.7917,35.5236
PHL,General Santos,Philippines,697315,General Santos,125.1667,6.1167
POL,Łódź,Poland,690422,Lodz,19.4547,51.7769
IRQ,Karbalā’,Iraq,690100,Karbala',44.0333,32.6167
ESP,Sevilla,Spain,684234,Sevilla,-5.99,37.39
IRN,Rasht,Iran,679995,Rasht,49.6,37.2833
IRQ,As Sulaymānīyah,Iraq,676500,As Sulaymaniyah,45.4333,35.55
ESP,Zaragoza,Spain,675301,Zaragoza,-0.8833,41.65
PRK,Ch’ŏngjin,North Korea,667929,Ch'ongjin,129.7831,41.8
AGO,Huambo,Angola,665564,Huambo,15.7333,-12.7667
SAU,Al Hufūf,Saudi Arabia,660788,Al Hufuf,49.5997,25.3608
CIV,Bouaké,Côte d'Ivoire,659233,Bouake,-5.0331,7.6833
ZWE,Bulawayo,Zimbabwe,653337,Bulawayo,28.5667,-20.1667
VNM,Huế,Vietnam,652572,Hue,107.5908,16.4637
KOR,Ch’ŏnan,South Korea,651661,Ch'onan,127.1522,36.8064
POL,Wrocław,Poland,638586,Wroclaw,17.0325,51.11
AUS,Gold Coast,Australia,638090,Gold Coast,153.4,-28.0167
COD,Kikwit,Congo (Kinshasa),637736,Kikwit,18.8167,-5.0333
BOL,Cochabamba,Bolivia,632013,Cochabamba,-66.157,-17.3935
LBY,Benghazi,Libya,631555,Benghazi,20.0667,32.1167
KOR,Jeonju,South Korea,631532,Jeonju,127.1489,35.8219
DEU,Stuttgart,Germany,630305,Stuttgart,9.1775,48.7761
UKR,Kryvyi Rih,Ukraine,629695,Kryvyi Rih,33.3433,47.9086
GBR,Glasgow,United Kingdom,626410,Glasgow,-4.25,55.8611
