city,city_ascii,lat,lng,country,iso3,population
Riga,Riga,56.9475,24.1069,Latvia,LVA,614618
Kingston,Kingston,17.9714,-76.7931,Jamaica,JAM,580000
Rabat,Rabat,34.0253,-6.8361,Morocco,MAR,572717
Vilnius,Vilnius,54.6833,25.2833,Lithuania,LTU,574147
San Salvador,San Salvador,13.6989,-89.1914,El Salvador,SLV,567698
Djibouti,Djibouti,11.595,43.1481,Djibouti,DJI,562000
Dublin,Dublin,53.3497,-6.2603,Ireland,IRL,553165
The Hague,The Hague,52.08,4.31,Netherlands,NLD,537833
Asunción,Asuncion,-25.3,-57.6333,Paraguay,PRY,524190
Lisbon,Lisbon,38.708,-9.139,Portugal,PRT,506654
Bratislava,Bratislava,48.1447,17.1128,Slovakia,SVK,475503
Tallinn,Tallinn,59.4372,24.745,Estonia,EST,438341
Beirut,Beirut,33.8869,35.5131,Lebanon,LBN,361366
Cape Town,Cape Town,-33.925,18.425,South Africa,ZAF,433688
Tirana,Tirana,41.33,19.82,Albania,ALB,418495
Wellington,Wellington,-41.2889,174.7772,New Zealand,NZL,418500
Dodoma,Dodoma,-6.1835,35.746,Tanzania,TZA,410956
Bissau,Bissau,11.8592,-15.5956,Guinea-Bissau,GNB,395954
Canberra,Canberra,-35.2931,149.1269,Australia,AUS,381488
Juba,Juba,4.85,31.6,South Sudan,SSD,372410
Yamoussoukro,Yamoussoukro,6.8161,-5.2742,Côte d'Ivoire,CIV,355573
Maseru,Maseru,-29.31,27.48,Lesotho,LSO,330790
Nicosia,Nicosia,35.1725,33.365,Cyprus,CYP,330000
Windhoek,Windhoek,-22.57,17.0836,Namibia,NAM,322500
Port Moresby,Port Moresby,-9.4789,147.1494,Papua New Guinea,PNG,317374
Porto-Novo,Porto-Novo,6.4833,2.6167,Benin,BEN,300000
Sucre,Sucre,-19.0431,-65.2592,Bolivia,BOL,300000
San José,San Jose,9.9333,-84.0833,Costa Rica,CRI,288054
Ljubljana,Ljubljana,46.05,14.5167,Slovenia,SVN,286745
Sarajevo,Sarajevo,43.8563,18.4132,Bosnia And Herzegovina,BIH,275524
Nassau,Nassau,25.0667,-77.3333,The Bahamas,BHS,274400
Bloemfontein,Bloemfontein,-29.1,26.2167,South Africa,ZAF,256185
Fort-de-France,Fort-de-France,14.6104,-61.08,Martinique,MTQ,253995
New Delhi,New Delhi,28.6139,77.209,India,IND,249998
Gaborone,Gaborone,-24.6569,25.9086,Botswana,BWA,231626
Paramaribo,Paramaribo,5.8667,-55.1667,Suriname,SUR,223757
Dili,Dili,-8.5536,125.5783,Timor-Leste,TLS,222323
Male,Male,4.175,73.5083,Maldives,MDV,133019
Georgetown,Georgetown,6.7833,-58.1667,Guyana,GUY,200500
Gibraltar,Gibraltar,36.1324,-5.3781,Gibraltar,GIB,187083
Saint-Denis,Saint-Denis,-20.8789,55.4481,Reunion,REU,190047
Malabo,Malabo,3.7521,8.7737,Equatorial Guinea,GNQ,187302
Podgorica,Podgorica,42.4397,19.2661,Montenegro,MNE,174515
Manama,Manama,26.225,50.5775,Bahrain,BHR,157474
Port Louis,Port Louis,-20.1667,57.5,Mauritius,MUS,149194
Willemstad,Willemstad,12.108,-68.935,Curaçao,CUW,150000
Bern,Bern,46.948,7.4474,Switzerland,CHE,133798
Papeete,Papeete,-17.5334,-149.5667,French Polynesia,PYF,131695
Luxembourg,Luxembourg,49.6106,6.1328,Luxembourg,LUX,128512
Reykjavík,Reykjavik,64.1475,-21.935,Iceland,ISL,128793
Praia,Praia,14.9177,-23.5092,Cabo Verde,CPV,127832
Sri Jayewardenepura Kotte,Sri Jayewardenepura Kotte,6.9,79.9164,Sri Lanka,LKA,115826
Bridgetown,Bridgetown,13.0975,-59.6167,Barbados,BRB,110000
Moroni,Moroni,-11.7036,43.2536,Comoros,COM,111329
Thimphu,Thimphu,27.4833,89.6333,Bhutan,BTN,104000
Mbabane,Mbabane,-26.3208,31.1617,Swaziland,SWZ,94874
Nouméa,Noumea,-22.2625,166.4443,New Caledonia,NCL,93060
Honiara,Honiara,-9.4333,159.95,Solomon Islands,SLB,84520
Suva,Suva,-18.1333,178.4333,Fiji,FJI,88271
Ankara,Ankara,39.93,32.85,Turkey,TUR,77168
Castries,Castries,14.0167,-60.9833,Saint Lucia,LCA,70000
Cayenne,Cayenne,4.933,-52.33,French Guiana,GUF,61550
São Tomé,Sao Tome,0.3333,6.7333,Sao Tome And Principe,STP,56166
Port-Vila,Port-Vila,-17.7333,168.3167,Vanuatu,VUT,51437
Hamilton,Hamilton,32.2942,-64.7839,Bermuda,BMU,52320
Bandar Seri Begawan,Bandar Seri Begawan,4.9167,114.9167,Brunei,BRN,50000
Monaco,Monaco,43.7396,7.4069,Monaco,MCO,36371
Gitega,Gitega,-3.4283,29.925,Burundi,BDI,41944
Port of Spain,Port of Spain,10.6667,-61.5167,Trinidad And Tobago,TTO,37074
Apia,Apia,-13.8333,-171.8333,Samoa,WSM,37708
Tarawa,Tarawa,1.3382,173.0176,Kiribati,KIR,28802
Oranjestad,Oranjestad,12.5186,-70.0358,Aruba,ABW,34980
Saint Helier,Saint Helier,49.1858,-2.11,Jersey,JEY,33522
Banjul,Banjul,13.4531,-16.5775,The Gambia,GMB,31356
Mamoudzou,Mamoudzou,-12.7871,45.275,Mayotte,MYT,32057
Majuro,Majuro,7.0918,171.3802,Marshall Islands,MHL,30000
Douglas,Douglas,54.15,-4.4819,Isle Of Man,IMN,27938
George Town,George Town,19.2866,-81.3744,Cayman Islands,CYM,27704
Victoria,Victoria,-4.6236,55.4544,Seychelles,SYC,26450
Kingstown,Kingstown,13.1667,-61.2333,Saint Vincent And The Grenadines,VCT,25000
Andorra la Vella,Andorra la Vella,42.5,1.5,Andorra,AND,22615
Saint John’s,Saint John's,17.1211,-61.8447,Antigua And Barbuda,ATG,21926
